# File: iso_GCAM_regID.csv
# Title: ISO to GCAM region mapping
# Units: NA
# Description: Maps iso codes to GCAM regions (including composites as necessary)
# Column types: cccic
# ----------
iso,country_name,region_GCAM3,GCAM_region_ID,ssp_country_name
mne,Montenegro,Eastern Europe,15,Montenegro
mng,Mongolia,China,10,Mongolia
mnp,Northern Mariana Islands,Southeast Asia,29,
moz,Mozambique,Africa,4,Mozambique
mrt,Mauritania,Africa,5,Mauritania
msr,Montserrat,Latin America,9,
mtq,Martinique,Western Europe,9,Martinique
mus,Mauritius,Africa,2,Mauritius
mwi,Malawi,Africa,4,Malawi
mys,Malaysia,Southeast Asia,29,Malaysia
myt,Mayotte,Africa,29,Mayotte
nam,Namibia,Africa,4,Namibia
ncl,New Caledonia,Southeast Asia,29,New Caledonia
ner,Niger,Africa,5,Niger
nfk,Norfolk Island,Australia_NZ,29,
nga,Nigeria,Africa,5,Nigeria
nic,Nicaragua,Latin America,9,Nicaragua
niu,Niue,Australia_NZ,29,
nld,Netherlands,Western Europe,13,Netherlands
nor,Norway,Western Europe,16,Norway
npl,Nepal,Southeast Asia,27,Nepal
nru,Nauru,Southeast Asia,29,
nzl,New Zealand,Australia_NZ,6,New Zealand
omn,Oman,Middle East,21,Oman
pak,Pakistan,Southeast Asia,22,Pakistan
pan,Panama,Latin America,9,Panama
pci,Pacific Islands Trust Territory,Southeast Asia,29,
pcn,Pitcairn Islands,Southeast Asia,29,
per,Peru,Latin America,26,Peru
phl,Philippines,Southeast Asia,29,Philippines
plw,Palau,Southeast Asia,29,
png,Papua New Guinea,Southeast Asia,29,Papua New Guinea
pol,Poland,Eastern Europe,12,Poland
pri,Puerto Rico,USA,1,Puerto Rico
prk,"Korea, Democratic Peoples Republic of",China,29,North Korea
prt,Portugal,Western Europe,13,Portugal
pry,Paraguay,Latin America,26,Paraguay
pse,"Palestinian Territory, Occupied",Middle East,21,Palestine
pyf,French Polynesia,Southeast Asia,29,French Polynesia
qat,Qatar,Middle East,21,Qatar
reu,Reunion,Africa,2,Réunion
rom,Romania,Eastern Europe,12,Romania
rou,Romania,Eastern Europe,12,
rus,Russian Federation,Former Soviet Union,23,Russian Federation
rwa,Rwanda,Africa,2,Rwanda
sau,Saudi Arabia,Middle East,21,Saudi Arabia
scg,Serbia and Montenegro,Eastern Europe,15,
sdn,Sudan,Africa,2,Sudan
sen,Senegal,Africa,5,Senegal
sgp,Singapore,Southeast Asia,29,Singapore
shn,Saint Helena,Africa,13,
sjm,Svalbard and Jan Mayen Islands,Western Europe,16,
slb,Solomon Islands,Southeast Asia,29,Solomon Islands
sle,Sierra Leone,Africa,5,Sierra Leone
slv,El Salvador,Latin America,9,El Salvador
smr,San Marino,Western Europe,13,
som,Somalia,Africa,2,Somalia
spm,Saint Pierre and Miquelon,Canada,13,
srb,Serbia,Eastern Europe,15,Serbia
ssd,South Sudan,Africa,2,South Sudan
stp,Sao Tome and Principe,Africa,5,Sao Tome and Principe
sur,Suriname,Latin America,25,Suriname
svk,Slovakia,Eastern Europe,12,Slovakia
svn,Slovenia,Eastern Europe,12,Slovenia
swe,Sweden,Western Europe,13,Sweden
swz,Swaziland,Africa,4,Eswatini
syc,Seychelles,Africa,29,Seychelles
syr,Syrian Arab Republic,Middle East,21,Syria
tca,Turks and Caicos,Latin America,13,
tcd,Chad,Africa,5,Chad
tgo,Togo,Africa,5,Togo
tha,Thailand,Southeast Asia,29,Thailand
tjk,Tajikistan,Former Soviet Union,10,Tajikistan
tkl,Tokelau,Australia_NZ,29,
tkm,Turkmenistan,Former Soviet Union,10,Turkmenistan
tls,Timor Leste,Southeast Asia,29,Timor-Leste
ton,Tonga,Southeast Asia,29,Tonga
tto,Trinidad and Tobago,Latin America,9,Trinidad and Tobago
tun,Tunisia,Africa,3,Tunisia
tur,Turkey,Western Europe,15,Turkey
tuv,Tuvalu,Southeast Asia,29,
twn,Taiwan,Southeast Asia,30,Taiwan
tza,"Tanzania, United Republic of",Africa,4,Tanzania
uga,Uganda,Africa,2,Uganda
ukr,Ukraine,Former Soviet Union,14,Ukraine
ury,Uruguay,Latin America,26,Uruguay
usa,United States of America,USA,1,United States
uzb,Uzbekistan,Former Soviet Union,10,Uzbekistan
vat,Vatican,Western Europe,13,
vct,Saint Vincent and the Grenadines,Latin America,9,Saint Vincent and the Grenadines
ven,Venezuela,Latin America,25,Venezuela
vgb,"Virgin Islands, British",Latin America,13,
vir,"Virgin Islands, U.S.",Latin America,1,United States Virgin Islands
vnm,Viet Nam,China,29,Viet Nam
vut,Vanuatu,Southeast Asia,29,Vanuatu
wlf,Wallis and Futuna,Australia_NZ,13,
wsm,Samoa,Southeast Asia,29,Samoa
yem,Yemen,Middle East,21,Yemen
yug,"Yugoslavia, Federal Republic of",Eastern Europe,15,
zaf,South Africa,Africa,24,South Africa
zmb,Zambia,Africa,4,Zambia
zwe,Zimbabwe,Africa,4,Zimbabwe
